msoa,council,period,maxincidence
Aber Valley,Caerphilly,All cases,"1,984.1"
Aber Valley,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),940.6
Aber Valley,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),102.9
Aberaeron & Llanrhystud,Ceredigion,All cases,211.4
Aberaeron & Llanrhystud,Ceredigion,Rolling 21 days (01 Oct - 21 Oct),42.3
Aberaeron & Llanrhystud,Ceredigion,Rolling 7 days (15 Oct - 21 Oct),<29
Aberafan,Neath Port Talbot,All cases,"1,218.0"
Aberafan,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),685.8
Aberafan,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),286.6
Aberaman,Rhondda Cynon Taf,All cases,"2,285.3"
Aberaman,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),669.8
Aberaman,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),266.0
Aberbargoed & Gilfach,Caerphilly,All cases,"1,070.5"
Aberbargoed & Gilfach,Caerphilly,Rolling 21 days (01 Oct - 21 Oct),428.2
Aberbargoed & Gilfach,Caerphilly,Rolling 7 days (15 Oct - 21 Oct),181.2
Abercynon,Rhondda Cynon Taf,All cases,"3,096.1"
Abercynon,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),"1,109.1"
Abercynon,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),585.3
Aberdare East & Cwm-bach,Rhondda Cynon Taf,All cases,"2,353.8"
Aberdare East & Cwm-bach,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),722.0
Aberdare East & Cwm-bach,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),361.0
Aberdare North & Llwydcoed,Rhondda Cynon Taf,All cases,"2,393.1"
Aberdare North & Llwydcoed,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),"1,225.7"
Aberdare North & Llwydcoed,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),408.6
Aberdare West,Rhondda Cynon Taf,All cases,"1,581.6"
Aberdare West,Rhondda Cynon Taf,Rolling 21 days (01 Oct - 21 Oct),655.8
Aberdare West,Rhondda Cynon Taf,Rolling 7 days (15 Oct - 21 Oct),205.7
Aberdulais & Resolfen,Neath Port Talbot,All cases,819.0
Aberdulais & Resolfen,Neath Port Talbot,Rolling 21 days (01 Oct - 21 Oct),438.7
Aberdulais & Resolfen,Neath Port Talbot,Rolling 7 days (15 Oct - 21 Oct),219.4
Abergavenny North,Monmouthshire,All cases,860.9
Abergavenny North,Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),260.9
Abergavenny North,Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),91.3
Abergavenny South & Crucorney,Monmouthshire,All cases,"1,449.6"
Abergavenny South & Crucorney,Monmouthshire,Rolling 21 days (01 Oct - 21 Oct),335.4
Abergavenny South & Crucorney,Monmouthshire,Rolling 7 days (15 Oct - 21 Oct),155.7
Abergele,Conwy,All cases,901.8
Abergele,Conwy,Rolling 21 days (01 Oct - 21 Oct),202.4
Abergele,Conwy,Rolling 7 days (15 Oct - 21 Oct),27.6
"Abergwili, Llanegwad & Carmel",Carmarthenshire,All cases,630.7
"Abergwili, Llanegwad & Carmel",Carmarthenshire,Rolling 21 days (01 Oct - 21 Oct),255.3
"Abergwili, Llanegwad & Carmel",Carmarthenshire,Rolling 7 days (15 Oct - 21 Oct),75.1
"Abermule, Churchstoke & Kerry",Powys,All cases,301.7
"Abermule, Churchstoke & Kerry",Powys,Rolling 21 days (01 Oct - 21 Oct),53.2
"Abermule, Churchstoke & Kerry",Powys,Rolling 7 days (15 Oct - 21 Oct),<36
Abersoch & Aberdaron,Gwynedd,All cases,816.9
Abersoch & Aberdaron,Gwynedd,Rolling 21 days (01 Oct - 21 Oct),323.3
Abersoch & Aberdaron,Gwynedd,Rolling 7 days (15 Oct - 21 Oct),136.1
Abersychan,Torfaen,All cases,797.0
Abersychan,Torfaen,Rolling 21 days (01 Oct - 21 Oct),324.2
Abersychan,Torfaen,Rolling 7 days (15 Oct - 21 Oct),108.1
Abertillery North & Cwmtillery,Blaenau Gwent,All cases,"1,066.3"
Abertillery North & Cwmtillery,Blaenau Gwent,Rolling 21 days (01 Oct - 21 Oct),399.9
Abertillery North & Cwmtillery,Blaenau Gwent,Rolling 7 days (15 Oct - 21 Oct),155.5
Abertillery South & Llanhilleth,Blaenau Gwent,All cases,953.6
Abertillery South & Llanhilleth,Blaenau Gwent,Rolling 21 days (01 Oct - 21 Oct),512.4
Abertillery South & Llanhilleth,Blaenau Gwent,Rolling 7 days (15 Oct - 21 Oct),227.7
Aberystwyth North,Ceredigion,All cases,599.9
Aberystwyth North,Ceredigion,Rolling 21 days (01 Oct - 21 Oct),283.0
Aberystwyth North,Ceredigion,Rolling 7 days (15 Oct - 21 Oct),56.6
Aberystwyth South,Ceredigion,All cases,283.9
Aberystwyth South,Ceredigion,Rolling 21 days (01 Oct - 21 Oct),74.7
